epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,3181.06,0.88419,0.81517,0.8187,0.7697,0.64252,0.72286,0.55342,0.75844,0.67252,0.80939,0.006535,0.006535,0.006535
107,3216.69,0.87921,0.80937,0.81761,0.7633,0.639,0.72384,0.55574,0.75683,0.67344,0.80945,0.006502,0.006502,0.006502
108,3249.16,0.87171,0.79764,0.81909,0.75631,0.6407,0.72427,0.5555,0.75484,0.67033,0.80941,0.006469,0.006469,0.006469
109,3280.11,0.88771,0.79838,0.8229,0.7623,0.64511,0.72687,0.55793,0.75444,0.66838,0.80942,0.006436,0.006436,0.006436
110,3308.92,0.88035,0.80638,0.82086,0.75544,0.64818,0.72709,0.55797,0.75541,0.66682,0.80936,0.006403,0.006403,0.006403
111,3339.05,0.86932,0.77921,0.81715,0.76559,0.64942,0.72987,0.55925,0.75304,0.66478,0.80903,0.00637,0.00637,0.00637
112,3368.88,0.87001,0.7858,0.8174,0.77946,0.63719,0.73131,0.55879,0.7544,0.66086,0.80873,0.006337,0.006337,0.006337
113,3402,0.87625,0.77732,0.81762,0.76605,0.64829,0.72965,0.55709,0.75324,0.66275,0.80862,0.006304,0.006304,0.006304
114,3432.66,0.86729,0.75465,0.81752,0.76545,0.65071,0.72904,0.55754,0.75163,0.66033,0.80847,0.006271,0.006271,0.006271
115,3462.21,0.87677,0.78144,0.81855,0.76405,0.65473,0.73242,0.55977,0.75174,0.66061,0.80838,0.006238,0.006238,0.006238
116,3493.85,0.86896,0.78305,0.81915,0.76375,0.65759,0.73366,0.5593,0.75165,0.65909,0.80821,0.006205,0.006205,0.006205
117,3524.43,0.8804,0.78202,0.81782,0.76637,0.65848,0.73419,0.55981,0.75146,0.66011,0.80844,0.006172,0.006172,0.006172
118,3555.79,0.87486,0.77854,0.81986,0.76188,0.65647,0.73445,0.56068,0.75191,0.65982,0.80833,0.006139,0.006139,0.006139
119,3588.95,0.87186,0.77983,0.81735,0.73794,0.67334,0.73538,0.56041,0.75112,0.65731,0.8082,0.006106,0.006106,0.006106
120,3618.33,0.84843,0.76797,0.81784,0.74886,0.66746,0.7363,0.56161,0.75003,0.6553,0.80794,0.006073,0.006073,0.006073
121,3647.94,0.86172,0.7525,0.8161,0.76678,0.66063,0.73745,0.56278,0.7511,0.65223,0.80789,0.00604,0.00604,0.00604
122,3677.43,0.87043,0.74878,0.81991,0.76709,0.66351,0.74046,0.56521,0.74977,0.64841,0.80772,0.006007,0.006007,0.006007
